,Unnamed: 0,Unnamed: 0.1,X,address,city_or_county,date,incident_url,latitude,longitude,n_injured,n_killed
122,122,123,1477,Jew Hollow Road,Mount Olive,2014-09-09,http://www.gunviolencearchive.org/incident/195095,33.6369711,-86.8723114,0,0
123,123,124,1490,South Crown Street,Florence,2014-09-09,http://www.gunviolencearchive.org/incident/192743,34.8168438,-87.6310764,1,0
124,124,125,1677,800 Airport Dr,Dothan,2014-09-10,http://www.gunviolencearchive.org/incident/193376,31.3148738,-85.44872099999999,0,0
125,125,126,1696,300 block of Cherry Avenue,Opelika,2014-09-10,http://www.gunviolencearchive.org/incident/189726,32.6335845,-85.3757849,1,0
126,126,127,1706,180 block of 2nd Street Thomas ,Birmingham,2014-09-10,http://www.gunviolencearchive.org/incident/190951,33.5300852,-86.86575739999999,0,0
127,127,128,1924,Park Street,Troy,2014-09-12,http://www.gunviolencearchive.org/incident/192583,31.79624519999999,-85.9637132,0,0
128,128,129,1935, 248 1st Ave Sw,Birmingham,2014-09-12,http://www.gunviolencearchive.org/incident/190296,33.4966837,-86.8380742,1,0
129,129,130,1980,1477 Gadsden Hwy,Birmingham,2014-09-12,http://www.gunviolencearchive.org/incident/195340,33.5971213,-86.642922,0,0
130,130,131,1996,Logan Road ,Clanton,2014-09-12,http://www.gunviolencearchive.org/incident/190923,32.8200726,-86.6179854,0,0
131,131,132,2090,4100 block of 5th Court North ,Birmingham,2014-09-13,http://www.gunviolencearchive.org/incident/190917,33.5303969,-86.7773121,1,0
132,132,133,2142,Upper Vienna Road,Aliceville,2014-09-13,http://www.gunviolencearchive.org/incident/191186,33.0448213,-88.17753929999999,0,1
133,133,134,2223,410 Chestnut St,Gadsden,2014-09-13,http://www.gunviolencearchive.org/incident/192567,34.0119634,-86.004244,0,0
134,134,135,2230,226 49th Ave E,Tuscaloosa,2014-09-13,http://www.gunviolencearchive.org/incident/197983,33.2133752,-87.4726149,2,0
135,135,136,2233,,Pickens County (county),2014-09-13,http://www.gunviolencearchive.org/incident/192569,33.2642548,-88.09454679999999,0,1
136,136,137,2256,910 Martin Luther King Blvd S,Union Springs ,2014-09-13,http://www.gunviolencearchive.org/incident/196347,32.1314901,-85.7146538,0,0
137,137,138,2299,1207 Old Trinity Road,Trinity,2014-09-14,http://www.gunviolencearchive.org/incident/191076,34.6089081,-87.0805292,1,1
138,138,139,2397,1500 block of Bessemer Road ,Birmingham,2014-09-14,http://www.gunviolencearchive.org/incident/190911,33.4835247,-86.8924455,1,1
139,139,140,2400,1100 block of Alabama Avenue,Selma,2014-09-14,http://www.gunviolencearchive.org/incident/192579,32.4077722,-87.0195452,0,0
140,140,141,2418,1000 block of Houston Street ,Mobile,2014-09-14,http://www.gunviolencearchive.org/incident/192763,30.6687963,-88.0813077,0,0
141,141,142,2482,3401 Holmes Ave NW,Huntsville,2014-09-15,http://www.gunviolencearchive.org/incident/192733,34.7264881,-86.6177855,0,0
142,142,143,2605,22000 of Fain Road,Elkmont,2014-09-16,http://www.gunviolencearchive.org/incident/192731,34.9202978,-86.9236142,0,0
