,Unnamed: 0,X,address,city_or_county,date,incident_url,latitude,longitude,n_injured,n_killed
5207,5208,1856,5140 36th Avenue East ,Tuscaloosa,2014-04-15,http://www.gunviolencearchive.org/incident/125523,,,0,0
5208,5209,1904,South Parkway ,Huntsville,2014-04-15,http://www.gunviolencearchive.org/incident/125539,,,1,0
5209,5210,1908,3300 block of Ellis Avenue SW,Birmingham,2014-04-15,http://www.gunviolencearchive.org/incident/125536,,,1,0
5210,5211,1968,431 Edgemont Drive,Huntsville,2014-04-16,http://www.gunviolencearchive.org/incident/126876,,,0,1
5211,5212,1969,Wingate Avenue,Huntsville,2014-04-16,http://www.gunviolencearchive.org/incident/127610,,,0,0
5212,5213,1972,Inglenook Street ,Birmingham,2014-04-16,http://www.gunviolencearchive.org/incident/127566,,,3,0
5213,5214,1994,Patty Ann Drive,Huntsville,2014-04-16,http://www.gunviolencearchive.org/incident/130155,,,0,0
5214,5215,2054,County Road 38,Fyffe,2014-04-16,http://www.gunviolencearchive.org/incident/126863,,,0,0
5215,5216,2055,Cryer Road,Hartselle,2014-04-16,http://www.gunviolencearchive.org/incident/126895,,,0,0
5216,5217,2056,Public Beach and East Gulf Place,Gulf Shores,2014-04-16,http://www.gunviolencearchive.org/incident/127573,,,1,0
5217,5218,2113,100 block of Woodfield Place ,Enterprise,2014-04-17,http://www.gunviolencearchive.org/incident/127562,,,1,0
5218,5219,2146,100 Whitestone Drive,Huntsville,2014-04-17,http://www.gunviolencearchive.org/incident/127608,,,0,0
5219,5220,2180,3400 Memorial Parkway,Huntsville,2014-04-17,http://www.gunviolencearchive.org/incident/127607,,,0,0
5220,5221,2188,559 Fourth Ave. Northeast,Carbon Hill,2014-04-17,http://www.gunviolencearchive.org/incident/127575,,,0,1
5221,5222,2230,South Memorial Parkway,Huntsville,2014-04-18,http://www.gunviolencearchive.org/incident/127601,,,1,0
5222,5223,2295,48th Street East,Tuscaloosa,2014-04-18,http://www.gunviolencearchive.org/incident/128225,,,0,0
5223,5224,2348,Geneva County 57,Hartford,2014-04-19,http://www.gunviolencearchive.org/incident/127570,,,3,0
5224,5225,2363,4300 Helena Rd,Helena,2014-04-19,http://www.gunviolencearchive.org/incident/127646,,,1,0
5225,5226,2364,14096 Memorial Parkway Southwest,Huntsville,2014-04-19,http://www.gunviolencearchive.org/incident/128059,,,0,0
5226,5227,2412,1300 Kent Drive,Auburn,2014-04-19,http://www.gunviolencearchive.org/incident/127475,,,1,0
5227,5228,2418,McFarland Boulevard ,Tuscaloosa,2014-04-19,http://www.gunviolencearchive.org/incident/127644,,,1,0
5228,5229,2421,12th Avenue,Tuscaloosa,2014-04-19,http://www.gunviolencearchive.org/incident/127640,,,0,0
5229,5230,2454,2100 block of Wildwood Drive,Millbrook,2014-04-20,http://www.gunviolencearchive.org/incident/128239,,,0,0
5230,5231,2475,5500 14th Ave,Birmingham,2014-04-20,http://www.gunviolencearchive.org/incident/127653,,,3,0
5231,5232,2478,1200 block of Church Street,Huntsville,2014-04-20,http://www.gunviolencearchive.org/incident/128061,,,0,0
5232,5233,2481,2200 block of North Memorial Parkway,Huntsville,2014-04-20,http://www.gunviolencearchive.org/incident/128057,,,0,0
5233,5234,2530,3300 Charleston Avenue,Huntsville,2014-04-20,http://www.gunviolencearchive.org/incident/127606,,,0,0
5234,5235,2643,Cullman Circle,Lisman,2014-04-21,http://www.gunviolencearchive.org/incident/129131,,,1,0
5235,5236,2655,Highway 11,Steele,2014-04-21,http://www.gunviolencearchive.org/incident/127655,,,0,0
5236,5237,2657,Avenue D and 31st Street,Birmingham,2014-04-21,http://www.gunviolencearchive.org/incident/127979,,,1,0
5237,5238,2677,Church Street,Huntsville,2014-04-21,http://www.gunviolencearchive.org/incident/127605,,,0,0
5238,5239,2689,Jones Street,Prattville,2014-04-21,http://www.gunviolencearchive.org/incident/130147,,,0,0
5239,5240,2712,1500 block of Warrior Road,Birmingham,2014-04-21,http://www.gunviolencearchive.org/incident/128217,,,1,0
5240,5241,2761,700 block of 24th Avenue Northwest,Birmingham,2014-04-22,http://www.gunviolencearchive.org/incident/128203,,,1,0
5241,5242,2776,1700 block of St. Philips St. ,Selma,2014-04-22,http://www.gunviolencearchive.org/incident/129252,,,0,1
5242,5243,2790,Centre Road,Gadsden,2014-04-22,http://www.gunviolencearchive.org/incident/128221,,,1,0
5243,5244,2792,Net Street and Twine Street,Blue Mountain,2014-04-22,http://www.gunviolencearchive.org/incident/128230,,,0,1
5244,5245,2795,100 block of Spirit Drive,Toney,2014-04-22,http://www.gunviolencearchive.org/incident/129141,,,0,0
5245,5246,2799,1001 Little Sorrel Dr,Calera,2014-04-22,http://www.gunviolencearchive.org/incident/129380,,,0,0
5246,5247,2829,Sledge Road,Athens,2014-04-22,http://www.gunviolencearchive.org/incident/129144,,,1,0
5247,5248,2831,Pratt Avenue,Huntsville,2014-04-22,http://www.gunviolencearchive.org/incident/129125,,,0,0
5248,5249,2863,4901 Zeigler Blvd,Mobile,2014-04-23,http://www.gunviolencearchive.org/incident/128200,,,1,0
5249,5250,2908,1000 West Harlem Avenue ,Hueytown,2014-04-23,http://www.gunviolencearchive.org/incident/128378,,,0,1
5250,5251,2970,2900 block of Polar Avenue,Huntsville,2014-04-23,http://www.gunviolencearchive.org/incident/128149,,,0,0
5251,5252,2994,5200 Gunn Road,Mobile,2014-04-24,http://www.gunviolencearchive.org/incident/129372,,,1,0
5252,5253,3032,Oporto Madrid Boulevard,Birmingham,2014-04-24,http://www.gunviolencearchive.org/incident/129231,,,1,0
5253,5254,3036,4751 Governor's House Dr.,Huntsville,2014-04-24,http://www.gunviolencearchive.org/incident/129124,,,0,0
5254,5255,3038,East Drive ,Mobile,2014-04-24,http://www.gunviolencearchive.org/incident/131030,,,1,0
