"","X","address","city_or_county","date","incident_url","latitude","longitude","n_injured","n_killed"
"3630",4134,"200 block of 22nd Avenue West","Birmingham","2015-12-29","http://www.gunviolencearchive.org/incident/476104",NA,NA,0,1
"3631",4174,"Alabama 68","DeKalb (county)","2015-12-30","http://www.gunviolencearchive.org/incident/480919",NA,NA,0,0
"3632",4193,"Wildwood Lane","Jacksonville","2015-12-30","http://www.gunviolencearchive.org/incident/477963",NA,NA,0,2
"3633",4279,"","Selma","2015-12-30","http://www.gunviolencearchive.org/incident/479137",NA,NA,1,0
"3634",4280,"","Selma","2015-12-30","http://www.gunviolencearchive.org/incident/479139",NA,NA,0,0
"3635",4281,"Tucker Avenue","Selma","2015-12-30","http://www.gunviolencearchive.org/incident/479142",NA,NA,1,0
"3636",4303,"200 block Daniel Payne Drive","Birmingham","2015-12-30","http://www.gunviolencearchive.org/incident/480880",NA,NA,1,0
"3637",4365,"1600 block of Maple Street","Selma","2015-12-31","http://www.gunviolencearchive.org/incident/479130",NA,NA,0,1
"3638",4367,"","Selma","2015-12-31","http://www.gunviolencearchive.org/incident/479132",NA,NA,1,0
"3639",4381,"3400 block of Park Avenue Southwest","Birmingham","2015-12-31","http://www.gunviolencearchive.org/incident/476334",NA,NA,1,0
"3640",78,"","DeKalb (county)","2016-09-01","http://www.gunviolencearchive.org/incident/647618",34.5211,-85.6846,0,0
"3641",79,"Jefferson Avenue","Birmingham","2016-09-01","http://www.gunviolencearchive.org/incident/645121",33.486,-86.857,0,0
"3642",188,"26th Street North","Birmingham","2016-09-02","http://www.gunviolencearchive.org/incident/685232",33.5397,-86.8119,0,0
"3643",203,"Triana Boulevard and Andros Street","Huntsville","2016-09-02","http://www.gunviolencearchive.org/incident/646381",34.6845,-86.61,2,0
"3644",279,"7000 block of Kimberly Avenue","Mobile (county)","2016-09-02","http://www.gunviolencearchive.org/incident/646386",30.8232,-88.3614,0,1
"3645",302,"1900 block of 9th Avenue North","Birmingham","2016-09-02","http://www.gunviolencearchive.org/incident/646379",33.4423,-86.932,0,1
"3646",374,"1800 University Drive NW","Huntsville","2016-09-03","http://www.gunviolencearchive.org/incident/646950",34.7409,-86.5981,1,0
"3647",386,"1100 block of Seneca Street","Mobile","2016-09-03","http://www.gunviolencearchive.org/incident/647615",30.6654,-88.0639,0,1
"3648",394,"","Selma","2016-09-03","http://www.gunviolencearchive.org/incident/650968",32.419,-87.0346,2,0
"3649",416,"200 Crabapple Lane","Birmingham","2016-09-03","http://www.gunviolencearchive.org/incident/647249",33.557,-86.892,2,0
"3650",456,"651 Azalea Rd.","Mobile","2016-09-03","http://www.gunviolencearchive.org/incident/653237",30.6563,-88.1435,0,1
"3651",462,"Interstate 20","Heflin","2016-09-03","http://www.gunviolencearchive.org/incident/649934",33.637,-85.5307,0,0
"3652",593,"1100 block of South 10th Street","Gadsden","2016-09-04","http://www.gunviolencearchive.org/incident/649159",34.0059,-86.0178,1,0
"3653",604,"","Mobile","2016-09-04","http://www.gunviolencearchive.org/incident/878397",30.6965,-88.044,0,0
"3654",714,"300 block of Aster Avenue","Troy","2016-09-04","http://www.gunviolencearchive.org/incident/649782",31.8146,-85.9574,1,0
"3655",727,"","Dothan","2016-09-04","http://www.gunviolencearchive.org/incident/648911",31.1814,-85.3962,0,1
"3656",729,"Hwy. 231","Ozark","2016-09-04","http://www.gunviolencearchive.org/incident/649940",31.5388,-85.6702,0,0
"3657",845,"6900 block of 1st Avenue South","Birmingham","2016-09-05","http://www.gunviolencearchive.org/incident/648904",33.5516,-86.7354,1,0
"3658",875,"33000 block of U.S. 431","Chambers (county)","2016-09-05","http://www.gunviolencearchive.org/incident/649936",33.0972,-85.3421,0,1
"3659",877,"County Road 37 and 199","Macon (county)","2016-09-05","http://www.gunviolencearchive.org/incident/648908",32.5014,-85.7506,2,0
"3660",1007,"1800 Phillips Ln","Mobile","2016-09-06","http://www.gunviolencearchive.org/incident/650663",30.7283,-88.1441,0,0
"3661",1049,"US 31","Hope Hull","2016-09-06","http://www.gunviolencearchive.org/incident/656481",32.1881,-86.3619,1,0
"3662",1327,"Joppa Court and Georgia Road","Birmingham","2016-09-08","http://www.gunviolencearchive.org/incident/651757",NA,NA,1,0
"3663",1334,"5700 block of Sycamore Avenue","Birmingham","2016-09-08","http://www.gunviolencearchive.org/incident/650961",33.6175,-86.6951,0,1
"3664",1362,"400 block of Earl Place","Montgomery","2016-09-08","http://www.gunviolencearchive.org/incident/654182",32.3598,-86.3029,1,0
"3665",1431,"8340 County Road 217","Hillsboro","2016-09-09","http://www.gunviolencearchive.org/incident/651902",34.5904,-87.1936,0,2
"3666",1459,"2669 Dauphin Island Pkwy","Mobile","2016-09-09","http://www.gunviolencearchive.org/incident/657434",30.6182,-88.0748,0,0
"3667",1531,"AUM Drive","Montgomery","2016-09-09","http://www.gunviolencearchive.org/incident/651755",32.3727,-86.1813,1,0
"3668",1597,"4th Ave","Phenix City","2016-09-10","http://www.gunviolencearchive.org/incident/652351",32.4766,-84.9986,0,0
"3669",1638,"U.S. 280","Birmingham","2016-09-10","http://www.gunviolencearchive.org/incident/653213",33.4193,-86.6735,0,1
"3670",1640,"7600 block of Bankhead Highway","Dora","2016-09-10","http://www.gunviolencearchive.org/incident/653215",33.7346,-86.9952,1,0
"3671",1820,"2017 Lindsey Road","Eclectic","2016-09-11","http://www.gunviolencearchive.org/incident/653892",32.724,-86.0789,0,2
"3672",1873,"3700 block of Whiting Avenue","Montgomery","2016-09-11","http://www.gunviolencearchive.org/incident/653232",NA,NA,1,1
"3673",1882,"Jessica Lane","Geneva","2016-09-11","http://www.gunviolencearchive.org/incident/656150",31.0083,-85.8863,1,0
"3674",1890,"507 Azalea Road","Mobile","2016-09-11","http://www.gunviolencearchive.org/incident/654180",30.661,-88.1497,0,0
"3675",1933,"6416 Kimberly Avenue","Birmingham","2016-09-11","http://www.gunviolencearchive.org/incident/652962",33.5414,-86.7224,3,1
"3676",2209,"2400 block of Highland Avenue","Montgomery","2016-09-13","http://www.gunviolencearchive.org/incident/654806",32.3722,-86.2771,1,0
