"","X","address","city_or_county","date","incident_url","latitude","longitude","n_injured","n_killed"
"3588",1299,"Cutrate Road","Phenix City","2015-12-10","http://www.gunviolencearchive.org/incident/463402",NA,NA,1,0
"3589",1300,"900 block of Knowles Road","Phenix City","2015-12-10","http://www.gunviolencearchive.org/incident/463404",NA,NA,1,0
"3590",1383,"3800 block of McFarland Boulevard","Tuscaloosa","2015-12-10","http://www.gunviolencearchive.org/incident/465064",NA,NA,1,0
"3591",1644,"4700 block of Avenue V","Birmingham","2015-12-12","http://www.gunviolencearchive.org/incident/465081",NA,NA,0,1
"3592",1646,"","Dolomite","2015-12-12","http://www.gunviolencearchive.org/incident/465109",NA,NA,1,0
"3593",1647,"800 block of Whiddon Street","Dothan","2015-12-12","http://www.gunviolencearchive.org/incident/465123",NA,NA,0,1
"3594",1648,"400 block of Ogden Avenue","Montgomery","2015-12-12","http://www.gunviolencearchive.org/incident/465127",NA,NA,1,0
"3595",1753,"1801 S. Quintard Avenue","Anniston","2015-12-13","http://www.gunviolencearchive.org/incident/465075",NA,NA,0,1
"3596",1768,"","Semmes","2015-12-13","http://www.gunviolencearchive.org/incident/467193",NA,NA,1,1
"3597",1836,"McKenna Drive","Mobile","2015-12-13","http://www.gunviolencearchive.org/incident/465115",NA,NA,1,0
"3598",2227,"491 14th St","Bessemer","2015-12-16","http://www.gunviolencearchive.org/incident/466558",NA,NA,0,1
"3599",2234,"","Grove Hill","2015-12-16","http://www.gunviolencearchive.org/incident/469374",NA,NA,1,1
"3600",2282,"Highway 150 and Fairfax Avenue","Bessemer","2015-12-16","http://www.gunviolencearchive.org/incident/467189",NA,NA,0,1
"3601",2324,"12th Street Southwest and Princeton Avenue","Birmingham","2015-12-17","http://www.gunviolencearchive.org/incident/467187",NA,NA,0,1
"3602",2466,"100 block of East South Boulevard","Montgomery","2015-12-18","http://www.gunviolencearchive.org/incident/469345",NA,NA,2,0
"3603",2467,"Pelham Road","Jacksonville","2015-12-18","http://www.gunviolencearchive.org/incident/469350",NA,NA,2,0
"3604",2696,"","Huntsville","2015-12-19","http://www.gunviolencearchive.org/incident/469383",NA,NA,1,0
"3605",2869,"Albany Street","Birmingham","2015-12-20","http://www.gunviolencearchive.org/incident/469348",NA,NA,1,0
"3606",2940,"1000 block of Day Street","Montgomery","2015-12-21","http://www.gunviolencearchive.org/incident/469341",NA,NA,0,1
"3607",2943,"800 block of Meg Drive","Birmingham","2015-12-21","http://www.gunviolencearchive.org/incident/472640",NA,NA,0,1
"3608",2988,"2400 block of Old Briar Trail","Birmingham (Hoover)","2015-12-21","http://www.gunviolencearchive.org/incident/477961",NA,NA,0,0
"3609",2994,"3200 block of Suwanee Drive","Montgomery","2015-12-21","http://www.gunviolencearchive.org/incident/469343",NA,NA,1,0
"3610",3030,"Old Dobbin Drive","Mobile","2015-12-21","http://www.gunviolencearchive.org/incident/469371",NA,NA,0,1
"3611",3094,"County Road 248","New Brockton","2015-12-22","http://www.gunviolencearchive.org/incident/472635",NA,NA,0,1
"3612",3095,"4400 block of 41st Place North","Birmingham","2015-12-22","http://www.gunviolencearchive.org/incident/472645",NA,NA,1,0
"3613",3171,"Mountain Drive","Fultondale","2015-12-22","http://www.gunviolencearchive.org/incident/472739",NA,NA,0,1
"3614",3223,"200 block of Chester Avenue","Opelika","2015-12-23","http://www.gunviolencearchive.org/incident/471553",NA,NA,0,1
"3615",3224,"500 block of Westwood Street","Opelika","2015-12-23","http://www.gunviolencearchive.org/incident/471555",NA,NA,0,1
"3616",3296,"2800 block of Herman Avenue","Tuscaloosa","2015-12-23","http://www.gunviolencearchive.org/incident/472736",NA,NA,1,0
"3617",3411,"","Bessemer (Hueytown)","2015-12-24","http://www.gunviolencearchive.org/incident/472672",NA,NA,1,0
"3618",3470,"5000 block of Martin Luther King, Jr. Avenue","Birmingham","2015-12-25","http://www.gunviolencearchive.org/incident/471790",NA,NA,0,1
"3619",3517,"785 Schillinger Rd S","Mobile","2015-12-25","http://www.gunviolencearchive.org/incident/471860",NA,NA,4,0
"3620",3537,"St. Stephen’s Road","Mobile (Prichard)","2015-12-25","http://www.gunviolencearchive.org/incident/472638",NA,NA,0,1
"3621",3586,"5900 Messer Airport Highway","Birmingham","2015-12-26","http://www.gunviolencearchive.org/incident/472595",NA,NA,0,0
"3622",3669,"","Tuscaloosa","2015-12-26","http://www.gunviolencearchive.org/incident/476113",NA,NA,0,0
"3623",3729,"400 block of Banyon Road","Madison (county)","2015-12-26","http://www.gunviolencearchive.org/incident/472633",NA,NA,1,0
"3624",3861,"1900 block of Cut Off Road","Mobile","2015-12-27","http://www.gunviolencearchive.org/incident/476097",NA,NA,0,2
"3625",3862,"913 Stoneridge Road","Birmingham","2015-12-27","http://www.gunviolencearchive.org/incident/476100",NA,NA,2,1
"3626",3865,"100 block of Second Avenue S.W.","Birmingham","2015-12-27","http://www.gunviolencearchive.org/incident/476107",NA,NA,0,1
"3627",3954,"500 block of Hartzog Road","Houston (county)","2015-12-28","http://www.gunviolencearchive.org/incident/484240",NA,NA,0,1
"3628",3993,"2250 Little Valley Rd.","Birmingham (Hoover)","2015-12-28","http://www.gunviolencearchive.org/incident/476109",NA,NA,1,0
"3629",4019,"200 6th Ave. South","Birmingham","2015-12-28","http://www.gunviolencearchive.org/incident/476111",NA,NA,0,0
